Grupo;Obra;Plano Unico;Instalaciones;Transferencias;w Orden;
Construcción 1ra Categoría;1;1;;;1;
Construcción 2da Categoría;1;1;;;2;
Construcción 3ra Categoría;1;1;;;3;
Construcción 4ta Categoría;1;1;;;4;
Construcción Categoría Única;1;1;;;5;
Construcción no tabulada en la ley;1;1;;;6;
Completamiento Tejido;1;1;;;7;
elevadores y montacargas;1;1;;;8;
Instalaciones eléctricas y electromecánicas;;1;1;;9;
Instalaciones térmicas de vapor y agua caliente;;1;1;;10;
Instalaciones inflamables;;1;1;;11;
Medidas c/Incendio en instalaciones de riesgo 1;;1;1;;12;
Medidas c/Incendio en instalaciones de riesgo 2;;1;1;;13;
Medidas c/Incendio en instalaciones de riesgo 3;;1;1;;14;
Medidas c/Incendio en instalaciones de riesgo 4;;1;1;;15;
Antenas;1;1;;;18;
Transferencia de Instalaciones eléctricas y electromecánicas;;;;1;19;
Transferencia de Instalaciones inflamables;;;;1;20;
Transferencia de Instalaciones térmicas de vapor y agua caliente;;;;1;21;
Hornos de residuos patológicos;1;1;;;22;
Instalaciones sanitarias;;1;1;;23;
