grupo;Punto de la ley;Obra O instalación;Unidad declarada;Unidad adicional declarada;Metodo de calculo;Nombre del rango;Tasa ;Tasa por unidad;Impuesto Minimo;Articulo 18?
Construcción 1ra Categoría;Art.13,Inc.A;Viviendas 1ra Categoría;M2;;tasaconminimo;;0;166,4;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Sanatorios privados de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;policlínicos y clínicas de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;mutuales de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;consultorios privados de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;hoteles de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;hogares de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;geriátricos de 1ra. categoría;M2;;tasaconminimo;;0;174,2;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Bancos de 1ra Categoría;M2;;tasaconminimo;;0;174,85;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Clubes de 1ra Categoría;M2;;tasaconminimo;;0;174,85;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Teatros de 1ra Categoría;M2;;tasaconminimo;;0;174,85;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Cineteatros y cinematógrafos de 1ra Categoría;M2;;tasaconminimo;;0;174,85;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Escritorios  de 1ra Categoría;M2;;tasaconminimo;;0;162,5;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Salones de negocios  de 1ra Categoría;M2;;tasaconminimo;;0;162,5;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Salones de actos de 1ra Categoría;M2;;tasaconminimo;;0;162,5;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Galerías comerciales de 1ra Categoría;M2;;tasaconminimo;;0;162,5;0;1
Construcción 1ra Categoría;Art.13,Inc.A;Institutos de 1ra Categoría;M2;;tasaconminimo;;0;162,5;0;1
Construcción 2da Categoría;Art.13,Inc.A;Viviendas 2da Categoría ;M2;;tasaconminimo;;0;122,2;0;1
Construcción 2da Categoría;Art.13,Inc.A;Sanatorios privados de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;policlínicos y clínicas de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;mutuales de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;consultorios privados de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;hoteles de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;hogares de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;geriátricos de 2da. categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;Bancos de 2da Categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;Clubes de 2da Categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;Teatros de 2da Categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;Cineteatros y cinematógrafos de 2da Categoría;M2;;tasaconminimo;;0;150,8;0;1
Construcción 2da Categoría;Art.13,Inc.A;Escritorios  de 2da Categoría;M2;;tasaconminimo;;0;141,7;0;1
Construcción 2da Categoría;Art.13,Inc.A;Salones de negocios  de 2da Categoría;M2;;tasaconminimo;;0;141,7;0;1
Construcción 2da Categoría;Art.13,Inc.A;Salones de actos de 2da Categoría;M2;;tasaconminimo;;0;141,7;0;1
Construcción 2da Categoría;Art.13,Inc.A;Galerías comerciales de 2da Categoría;M2;;tasaconminimo;;0;141,7;0;1
